Move Number,Eval,Centipawn Loss,Time Left,Time Spent
32w,1.29,0.1399999999999999,366,14
32b,1.72,0.42999999999999994,57,15
33w,1.53,0.18999999999999995,301,65
33b,12.33,10.8,45,12
1w,0.07,0,60,0
1b,0.18,0.10999999999999999,60,0
2w,-0.18,0.36,60,0
2b,0.23,0.41000000000000003,60,0
3w,-0.26,0.49,60,0
3b,0.06,0.32,59,1
4w,-0.27,0.33,60,0
4b,0.29,0.56,59,0
5w,0.43,0,59,1
5b,0.46,0.030000000000000027,58,1
6w,-0.15,0.61,59,0
6b,0.41,0.5599999999999999,58,0
7w,-0.1,0.51,59,0
7b,-0.09,0.010000000000000009,57,1
8w,-0.3,0.21,58,1
8b,-0.07,0.22999999999999998,55,2
9w,-0.28,0.21000000000000002,58,0
9b,-0.27,0.010000000000000009,55,0
10w,-0.33,0.06,57,1
10b,-0.03,0.30000000000000004,53,2
11w,-0.39,0.36,56,1
11b,-0.46,0,52,1
12w,-2.06,1.6,53,3
12b,0.27,2.33,50,2
13w,0.15,0.12000000000000002,53,0
13b,1.02,0.87,48,2
14w,0.84,0.18000000000000005,53,0
14b,1.95,1.1099999999999999,47,1
15w,1.59,0.3599999999999999,51,2
15b,1.58,0,46,1
16w,1.28,0.30000000000000004,50,1
16b,1.33,0.050000000000000044,44,2
17w,1.24,0.09000000000000008,49,1
17b,1.46,0.21999999999999997,41,3
18w,1.39,0.07000000000000006,47,2
18b,1.55,0.16000000000000014,40,1
19w,1.26,0.29000000000000004,44,3
19b,1.5,0.24,39,1
20w,1.53,0,42,2
20b,5.9,4.37,34,5
21w,1.17,4.73,40,2
21b,1.27,0.10000000000000009,33,1
22w,1.35,0,39,1
22b,4.41,3.06,31,2
23w,3.92,0.4900000000000002,37,2
23b,5.7,1.7800000000000002,29,2
24w,5.47,0.23000000000000043,34,3
24b,5.47,0,27,2
25w,5.03,0.4399999999999995,34,0
25b,4.97,0,26,1
26w,4.58,0.3899999999999997,29,5
26b,6.2,1.62,24,2
27w,5.75,0.4500000000000002,28,1
27b,8.82,3.0700000000000003,18,6
28w,8.78,0.040000000000000924,27,1
28b,14.16,5.380000000000001,18,0
29w,11.48,2.6799999999999997,24,3
29b,10.0,0,15,3
30w,10.0,0,24,0
30b,10.0,0,13,2
31w,10.0,0,22,2
31b,10.0,0,12,1
32w,10.0,0,22,0
32b,10.0,0,12,0
1w,0.08,0,180,0
1b,0.52,0.44,180,0
2w,0.18,0.34,177,3
2b,0.35,0.16999999999999998,179,1
3w,0.35,0,175,2
3b,0.32,0,177,2
4w,0.25,0.07,174,1
4b,0.38,0.13,175,2
5w,0.46,0,173,1
5b,0.35,0,174,1
6w,0.3,0.04999999999999999,172,1
6b,0.5,0.2,171,3
7w,0.59,0,170,2
7b,0.77,0.18000000000000005,169,2
8w,0.18,0.5900000000000001,169,1
8b,0.15,0,167,2
9w,0.12,0.03,167,2
9b,0.38,0.26,164,3
10w,0.16,0.22,166,1
10b,1.87,1.7100000000000002,163,1
11w,1.61,0.26,165,1
11b,3.48,1.8699999999999999,157,6
12w,3.45,0.029999999999999805,165,0
12b,3.53,0.07999999999999963,156,1
13w,3.39,0.13999999999999968,165,0
13b,3.51,0.11999999999999966,154,2
14w,3.44,0.06999999999999984,165,0
14b,3.34,0,153,1
15w,3.18,0.1599999999999997,165,0
15b,3.42,0.23999999999999977,151,2
16w,3.34,0.08000000000000007,160,5
16b,3.5,0.16000000000000014,148,3
17w,3.56,0,159,1
17b,3.49,0,142,6
18w,2.96,0.5300000000000002,151,8
18b,4.39,1.4299999999999997,142,0
19w,4.25,0.13999999999999968,149,2
19b,4.15,0,134,8
20w,3.93,0.2200000000000002,147,2
20b,7.63,3.6999999999999997,132,2
21w,4.86,2.7699999999999996,145,2
21b,4.68,0,131,1
22w,4.54,0.13999999999999968,144,1
22b,9.57,5.03,119,12
23w,9.52,0.05000000000000071,143,1
23b,9.45,0,117,2
24w,9.25,0.1999999999999993,142,1
24b,9.3,0.05000000000000071,116,1
25w,9.07,0.23000000000000043,140,2
25b,10.75,1.6799999999999997,113,3
1w,0.08,0,180,2
1b,0.1,0.020000000000000004,180,2
2w,0.12,0,178,4
2b,0.5,0.38,179,3
3w,0.49,0.010000000000000009,179,1
3b,0.33,0,177,4
4w,0.42,0,180,1
4b,0.28,0,175,4
5w,0.31,0,176,6
5b,0.55,0.24000000000000005,170,7
6w,0.35,0.20000000000000007,176,2
6b,0.4,0.050000000000000044,169,3
7w,0.32,0.08000000000000002,176,2
7b,0.46,0.14,164,7
8w,0.37,0.09000000000000002,177,1
8b,0.28,0,164,2
9w,0.14,0.14,176,3
9b,0.17,0.03,161,5
10w,0.06,0.11000000000000001,170,8
10b,0.24,0.18,156,7
11w,0.01,0.22999999999999998,170,2
11b,0.21,0.19999999999999998,147,11
12w,0.07,0.13999999999999999,170,2
12b,0.32,0.25,146,3
13w,0.07,0.25,165,7
13b,0.0,0,143,5
14w,-0.19,0.19,152,15
14b,-0.07,0.12,139,6
15w,-0.16,0.09,152,2
15b,-0.11,0.05,120,21
16w,-0.25,0.14,154,0
16b,-0.22,0.03,113,9
17w,-0.28,0.060000000000000026,143,13
17b,-0.2,0.08000000000000002,111,4
18w,-0.6,0.39999999999999997,144,1
18b,-0.68,0,110,3
19w,-0.61,0,128,18
19b,-0.6,0.010000000000000009,107,5
20w,-0.72,0.12,126,4
20b,-0.55,0.16999999999999993,98,11
21w,-0.79,0.24,125,3
21b,-0.79,0,97,3
22w,-1.19,0.3999999999999999,127,0
22b,-1.05,0.1399999999999999,88,11
23w,-0.93,0,127,2
23b,-0.95,0,82,8
24w,-1.4,0.44999999999999996,96,33
24b,-1.34,0.05999999999999983,79,5
25w,-1.35,0.010000000000000009,84,14
25b,-1.32,0.030000000000000027,80,1
26w,-1.77,0.44999999999999996,81,5
26b,-1.62,0.1499999999999999,76,6
27w,-1.78,0.15999999999999992,79,4
27b,-1.52,0.26,77,1
28w,-2.37,0.8500000000000001,80,1
28b,-1.61,0.76,61,18
29w,-10.0,8.39,53,29
29b,-10.0,0,59,4
30w,-10.0,0,54,1
30b,-10.0,0,54,7
1w,0.09,0,180,0
1b,0.12,0.03,180,0
2w,0.18,0,179,1
2b,0.1,0,179,1
3w,-0.62,0.72,178,1
3b,-0.7,0,177,2
4w,-0.65,0,177,1
